system:index,EXG,EXR,ExGR,GLI1,NGRDI,RI,VARI,b1,b2,b3,lat,lon,res_m,.geo
93,56.281097,-6.493616,62.774715,0.11292037,0.2006766,-0.2006766,0.45212823,138.52403,147.90753,101.00994,-0.9195697026521166,-48.59320087523829,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59320087523829,-0.9195697026521166]}"
94,52.295143,0.37330166,51.921844,0.10184555,0.17808163,-0.17808163,0.39352223,143.96205,152.85187,109.446556,-0.9195696599688459,-48.593138015832785,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.593138015832785,-0.9195696599688459]}"
95,52.81934,-0.94662863,53.76597,0.10743636,0.19371603,-0.19371603,0.44220424,146.18237,154.2532,109.50469,-0.9195696172844633,-48.59307515643021,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59307515643021,-0.9195696172844633]}"
96,44.53589,3.8098855,40.726,0.08669946,0.17580304,-0.17580304,0.42425454,154.722,157.09496,114.93203,-0.9195695745989684,-48.59301229703055,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59301229703055,-0.9195695745989684]}"
97,65.27837,-16.126379,81.40475,0.1282115,0.23830792,-0.23830792,0.56709194,144.66016,154.32642,98.71432,-0.9195695319123613,-48.592949437633806,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592949437633806,-0.9195695319123613]}"
98,56.385815,-8.453471,64.83929,0.10585559,0.21000636,-0.21000636,0.5107143,154.47997,159.31033,107.754906,-0.9195694892246421,-48.59288657823998,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59288657823998,-0.9195694892246421]}"
99,51.522377,-6.4598646,57.98224,0.089062236,0.20057365,-0.20057365,0.52635276,168.45113,167.5017,115.02988,-0.9195694465358109,-48.59282371884907,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59282371884907,-0.9195694465358109]}"
100,53.617554,-11.679041,65.29659,0.09073219,0.21538813,-0.21538813,0.5911398,174.24495,170.73804,113.61357,-0.9195694038458675,-48.59276085946109,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59276085946109,-0.9195694038458675]}"
101,44.28788,-12.731816,57.019695,0.116008155,0.24492075,-0.24492075,0.6522744,123.06425,123.08953,78.82694,-0.9195693611548118,-48.59269800007602,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59269800007602,-0.9195693611548118]}"
102,26.437975,0.5001544,25.93782,0.124518014,0.13203481,-0.13203481,0.27378947,51.2119,60.67221,43.694546,-0.919569318462644,-48.59263514069387,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59263514069387,-0.919569318462644]}"
103,37.66758,-3.7619379,41.429516,0.12396388,0.1735106,-0.1735106,0.38296932,79.560974,89.0878,60.947044,-0.9195692757693641,-48.592572281314645,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592572281314645,-0.9195692757693641]}"
104,57.333645,5.9638104,51.369835,0.1178494,0.16808093,-0.16808093,0.33415267,135.29716,153.13719,113.64358,-0.9196330628095376,-48.59332655165628,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59332655165628,-0.9196330628095376]}"
105,77.057655,-16.442852,93.5005,0.15936539,0.23850341,-0.23850341,0.49037054,126.648026,149.30283,94.89999,-0.9196330201255539,-48.59326369224384,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59326369224384,-0.9196330201255539]}"
106,54.26521,-3.9896867,58.254894,0.10898311,0.19425388,-0.19425388,0.43706205,141.04912,149.69466,104.074974,-0.919632977440458,-48.59320083283432,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59320083283432,-0.919632977440458]}"
107,55.53222,-5.01264,60.54486,0.10877053,0.1928325,-0.1928325,0.43158227,139.99895,149.295,103.05883,-0.91963293475425,-48.59313797342771,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59313797342771,-0.91963293475425]}"
108,48.899006,2.132035,46.766968,0.092967,0.17409681,-0.17409681,0.3997164,149.7579,155.69539,112.73387,-0.9196328920669297,-48.593075114024025,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.593075114024025,-0.9196328920669297]}"
109,41.372498,4.8389306,36.533566,0.0798837,0.16933739,-0.16933739,0.41170415,155.5792,155.87294,114.79419,-0.9196328493784972,-48.593012254623254,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.593012254623254,-0.9196328493784972]}"
110,60.45667,-11.479087,71.93575,0.11457799,0.22211637,-0.22211637,0.5386615,152.84912,159.52724,105.74868,-0.9196328066889523,-48.5929493952254,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.5929493952254,-0.9196328066889523]}"
111,59.45015,-11.523803,70.97395,0.10771985,0.2177657,-0.2177657,0.53981525,158.81438,163.35918,108.45384,-0.9196327639982955,-48.59288653583047,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59288653583047,-0.9196327639982955]}"
112,47.704124,-2.2536023,49.957726,0.08255192,0.1876621,-0.1876621,0.48896867,168.3362,166.77936,117.518394,-0.9196327213065262,-48.59282367643847,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59282367643847,-0.9196327213065262]}"
113,34.11,9.813703,24.296297,0.055477545,0.15048891,-0.15048891,0.3869851,180.9833,172.74686,130.4004,-0.919632678613645,-48.59276081704938,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59276081704938,-0.919632678613645]}"
114,27.491405,14.074805,13.416599,0.048592508,0.14032456,-0.14032456,0.36906615,177.56107,167.30458,129.5567,-0.9196326359196513,-48.592697957663205,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592697957663205,-0.9196326359196513]}"
