system:index,EXG,EXR,ExGR,GLI1,NDVI,NGRDI,RI,VARI,lat,lon,res_m,.geo
19,593.0,-34.200000000000045,627.2,0.20946661949506656,0.730177,0.18641719,-0.18641719,0.2952799118602855,-0.9208180819867154,-48.59288307422672,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59288307422672,-0.9208180819867154]}"
20,754.0,-157.60000000000002,911.6000000000001,0.2840994723873024,0.7759711,0.26409495,-0.26409495,0.3982102903823151,-0.9208180819867154,-48.592793242698306,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592793242698306,-0.9208180819867154]}"
21,832.0,-218.4000000000001,1050.4,0.31852986205263023,0.79017144,0.30454546,-0.30454546,0.452193475306869,-0.9208180819867154,-48.59270341116989,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59270341116989,-0.9208180819867154]}"
22,842.0,-218.60000000000002,1060.6000000000001,0.32211170607417305,0.7832118,0.30415094,-0.30415094,0.4477777772802469,-0.9208180819867154,-48.59261357964148,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59261357964148,-0.9208180819867154]}"
23,781.0,-176.80000000000007,957.8,0.3000384170956441,0.7722725,0.2779456,-0.2779456,0.4130190792222008,-0.9208180819867154,-48.59252374811307,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59252374811307,-0.9208180819867154]}"
24,725.0,-147.20000000000005,872.2,0.28919026713634216,0.77307695,0.2625,-0.2625,0.39024390198577946,-0.9208180819867154,-48.59243391658466,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59243391658466,-0.9208180819867154]}"
25,645.0,-90.0,735.0,0.26230174857165445,0.7580247,0.22590837,-0.22590837,0.33686690184114615,-0.9208180819867154,-48.59234408505625,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59234408505625,-0.9208180819867154]}"
26,624.0,-80.40000000000009,704.4000000000001,0.25913621251697,0.75506073,0.22061191,-0.22061191,0.32853716986985954,-0.9208180819867154,-48.592254253527834,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592254253527834,-0.9208180819867154]}"
27,550.0,-65.40000000000009,615.4000000000001,0.2440106476290991,0.76042217,0.21385281,-0.21385281,0.32628797843290885,-0.9208180819867154,-48.59216442199942,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59216442199942,-0.9208180819867154]}"
28,418.0,-80.20000000000005,498.20000000000005,0.24501758485051722,0.79036456,0.24501759,-0.24501759,0.39359698607608856,-0.9208180819867154,-48.59207459047101,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59207459047101,-0.9208180819867154]}"
29,654.0,-80.0,734.0,0.2431226764895455,0.75409836,0.21511628,-0.21511628,0.3296213804792635,-0.9207282504583035,-48.59288307422672,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59288307422672,-0.9207282504583035]}"
30,819.0,-211.20000000000005,1030.2,0.3134328357009442,0.79310346,0.3,-0.3,0.4474576266130422,-0.9207282504583035,-48.592793242698306,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592793242698306,-0.9207282504583035]}"
31,778.0,-168.4000000000001,946.4000000000001,0.30509803909604,0.78106236,0.27411944,-0.27411944,0.4004474268451371,-0.9207282504583035,-48.59270341116989,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59270341116989,-0.9207282504583035]}"
32,660.0,-121.60000000000002,781.6000000000001,0.27093596047991136,0.7786223,0.2483871,-0.2483871,0.37652811689910987,-0.9207282504583035,-48.59261357964148,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59261357964148,-0.9207282504583035]}"
33,661.0,-101.20000000000005,762.2,0.261574990003334,0.75714636,0.23183925,-0.23183925,0.3496503492428318,-0.9207282504583035,-48.59252374811307,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59252374811307,-0.9207282504583035]}"
34,642.0,-75.80000000000007,717.8,0.2561851555242677,0.7449799,0.21544401,-0.21544401,0.32032146920743804,-0.9207282504583035,-48.59243391658466,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59243391658466,-0.9207282504583035]}"
35,607.0,-64.0,671.0,0.24785626776322733,0.7414684,0.20886075,-0.20886075,0.31316725941498547,-0.9207282504583035,-48.59234408505625,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59234408505625,-0.9207282504583035]}"
36,608.0,-65.60000000000002,673.6000000000001,0.25589225578455715,0.7498713,0.21103896,-0.21103896,0.31175059914658204,-0.9207282504583035,-48.592254253527834,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592254253527834,-0.9207282504583035]}"
37,639.0,-131.4000000000001,770.4000000000001,0.28261831035709056,0.76072234,0.2619669,-0.2619669,0.3950131228411901,-0.9207282504583035,-48.59216442199942,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59216442199942,-0.9207282504583035]}"
38,508.0,10.199999999999932,497.79999999999995,0.17787114839710394,0.7082534,0.16080055,-0.16080055,0.2638731593840621,-0.9206384189298916,-48.59297290575513,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59297290575513,-0.9206384189298916]}"
39,696.0,-141.60000000000002,837.6000000000001,0.2685185184149234,0.7757268,0.25688073,-0.25688073,0.39716312009791593,-0.9206384189298916,-48.59288307422672,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59288307422672,-0.9206384189298916]}"
40,732.0,-170.80000000000007,902.8,0.29093799670471465,0.79489475,0.27874017,-0.27874017,0.4234449755700419,-0.9206384189298916,-48.592793242698306,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592793242698306,-0.9206384189298916]}"
41,677.0,-115.40000000000009,792.4000000000001,0.2807963499457502,0.7762938,0.24415794,-0.24415794,0.3594306045558356,-0.9206384189298916,-48.59270341116989,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59270341116989,-0.9206384189298916]}"
42,641.0,-99.40000000000009,740.4000000000001,0.268988669631142,0.76787925,0.23428571,-0.23428571,0.34872417940616746,-0.9206384189298916,-48.59261357964148,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59261357964148,-0.9206384189298916]}"
43,602.0,-58.40000000000009,660.4000000000001,0.2510425353415169,0.7480877,0.20578778,-0.20578778,0.30476190439909295,-0.9206384189298916,-48.59252374811307,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59252374811307,-0.9206384189298916]}"
44,572.0,-22.0,594.0,0.24114671153408657,0.7314376,0.18138042,-0.18138042,0.264018691280352,-0.9206384189298916,-48.59243391658466,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59243391658466,-0.9206384189298916]}"
45,552.0,-19.40000000000009,571.4000000000001,0.22961730439699782,0.7301837,0.17956904,-0.17956904,0.26753864415274836,-0.9206384189298916,-48.59234408505625,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59234408505625,-0.9206384189298916]}"
46,547.0,-32.40000000000009,579.4000000000001,0.2328650488578693,0.744174,0.18883416,-0.18883416,0.2836004928685567,-0.9206384189298916,-48.592254253527834,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592254253527834,-0.9206384189298916]}"
47,528.0,-88.0,616.0,0.24905660365610538,0.7813333,0.23507462,-0.23507462,0.367346938240019,-0.9206384189298916,-48.59216442199942,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59216442199942,-0.9206384189298916]}"
48,538.0,9.199999999999932,528.8,0.19394376344847017,0.7115292,0.16129032,-0.16129032,0.2538631343776345,-0.9205485874014796,-48.59297290575513,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59297290575513,-0.9205485874014796]}"
49,803.0,-212.60000000000002,1015.6000000000001,0.3120870577877625,0.8065623,0.3034749,-0.3034749,0.45644599250122414,-0.9205485874014796,-48.59288307422672,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59288307422672,-0.9205485874014796]}"
50,717.0,-165.80000000000007,882.8,0.2855436080105362,0.7905807,0.27588934,-0.27588934,0.4225181592947722,-0.9205485874014796,-48.592793242698306,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592793242698306,-0.9205485874014796]}"
51,652.0,-116.80000000000007,768.8,0.27394957971682793,0.7836561,0.24671052,-0.24671052,0.370370369913123,-0.9205485874014796,-48.59270341116989,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59270341116989,-0.9205485874014796]}"
52,635.0,-88.80000000000007,723.8,0.26491447631835024,0.7641835,0.22653721,-0.22653721,0.33613445337798986,-0.9205485874014796,-48.59261357964148,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59261357964148,-0.9205485874014796]}"
53,638.0,-80.40000000000009,718.4000000000001,0.26649958217773617,0.75456387,0.22061191,-0.22061191,0.32311320716614006,-0.9205485874014796,-48.59252374811307,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59252374811307,-0.9205485874014796]}"
54,591.0,-44.80000000000007,635.8,0.25159642390310927,0.7464644,0.19706841,-0.19706841,0.28741092602445256,-0.9205485874014796,-48.59243391658466,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59243391658466,-0.9205485874014796]}"
55,540.0,-13.400000000000091,553.4000000000001,0.22575250826682589,0.7384224,0.1756215,-0.1756215,0.2622754487876941,-0.9205485874014796,-48.59234408505625,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59234408505625,-0.9205485874014796]}"
56,606.0,-80.20000000000005,686.2,0.25699745536174834,0.7546778,0.22176422,-0.22176422,0.33250927029356087,-0.9205485874014796,-48.592254253527834,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592254253527834,-0.9205485874014796]}"
57,652.0,-98.60000000000002,750.6000000000001,0.24772036464752267,0.7582006,0.22812267,-0.22812267,0.35341830781759176,-0.9204587558730677,-48.59297290575513,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59297290575513,-0.9204587558730677]}"
58,890.0,-266.20000000000005,1156.2,0.3288987434113456,0.8097643,0.33086604,-0.33086604,0.49944134022408787,-0.9204587558730677,-48.59288307422672,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59288307422672,-0.9204587558730677]}"
59,866.0,-238.20000000000005,1104.2,0.327286470019922,0.7983675,0.3153558,-0.3153558,0.4667405759792233,-0.9204587558730677,-48.592793242698306,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592793242698306,-0.9204587558730677]}"
60,829.0,-223.80000000000007,1052.8,0.325480957862002,0.8002255,0.31157732,-0.31157732,0.4603903553841672,-0.9204587558730677,-48.59270341116989,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59270341116989,-0.9204587558730677]}"
61,708.0,-141.0,849.0,0.28456591628433847,0.78088576,0.25925925,-0.25925925,0.3875147227473325,-0.9204587558730677,-48.59261357964148,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59261357964148,-0.9204587558730677]}"
62,676.0,-130.20000000000005,806.2,0.28119800321081617,0.77493227,0.25509372,-0.25509372,0.381707316607674,-0.9204587558730677,-48.59252374811307,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59252374811307,-0.9204587558730677]}"
63,590.0,-72.80000000000007,662.8,0.24810765338599344,0.756743,0.21639344,-0.21639344,0.32835820854681813,-0.9204587558730677,-48.59243391658466,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59243391658466,-0.9204587558730677]}"
64,557.0,-43.0,600.0,0.23334729776566934,0.74345684,0.19577579,-0.19577579,0.29716399470140076,-0.9204587558730677,-48.59234408505625,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59234408505625,-0.9204587558730677]}"
65,548.0,-62.40000000000009,610.4000000000001,0.2504570382767564,0.76,0.21276596,-0.21276596,0.3191489357458126,-0.9204587558730677,-48.592254253527834,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592254253527834,-0.9204587558730677]}"
66,481.0,81.79999999999995,399.20000000000005,0.1743385283891488,0.6717341,0.11955771,-0.11955771,0.18306878287505948,-0.9203689243446558,-48.59306273728354,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59306273728354,-0.9203689243446558]}"
67,762.0,-194.0,956.0,0.29742388747173154,0.8031581,0.29237947,-0.29237947,0.44708680089525943,-0.9203689243446558,-48.59297290575513,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59297290575513,-0.9203689243446558]}"
68,920.0,-282.0,1202.0,0.34431137711664994,0.8160535,0.34230193,-0.34230193,0.5077605315878486,-0.9203689243446558,-48.59288307422672,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59288307422672,-0.9203689243446558]}"
69,882.0,-243.4000000000001,1125.4,0.33844973125922884,0.8053328,0.32021195,-0.32021195,0.4658590303239438,-0.9203689243446558,-48.592793242698306,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592793242698306,-0.9203689243446558]}"
