system:index,EXG,EXR,ExGR,GLI1,NGRDI,RI,VARI,b1,b2,b3,lat,lon,res_m,.geo
71,67.22895,-41.26614,108.49509,0.16091457,0.39583093,-0.39583093,1.6503836,134.49834,133.97337,66.21945,-0.919271370648661,-48.59314719561729,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59314719561729,-0.919271370648661]}"
72,69.39494,-44.121655,113.5166,0.17633596,0.424614,-0.424614,1.9647616,126.86323,128.13321,60.008255,-0.919271340169935,-48.59310229604714,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59310229604714,-0.919271340169935]}"
73,72.28311,-48.83771,121.12082,0.18838137,0.45958006,-0.45958006,2.1369317,122.88199,124.66302,54.16093,-0.9192713096906415,-48.59305739647848,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59305739647848,-0.9192713096906415]}"
74,73.21902,-49.95714,123.17616,0.174526,0.44142425,-0.44142425,2.0703187,136.54251,135.39389,61.026245,-0.9192712792107804,-48.59301249691131,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59301249691131,-0.9192712792107804]}"
75,66.30664,-47.74834,114.05498,0.14790598,0.4117928,-0.4117928,2.170901,147.17685,139.51585,65.54822,-0.9192712487303527,-48.59296759734563,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59296759734563,-0.9192712487303527]}"
76,62.112114,-46.713703,108.82581,0.14439595,0.4155453,-0.4155453,2.2342732,143.32872,133.83525,62.229683,-0.9192712182493576,-48.59292269778144,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59292269778144,-0.9192712182493576]}"
77,52.179394,-39.56831,91.7477,0.11726415,0.36895496,-0.36895496,1.8594781,147.41475,133.25749,66.920845,-0.9192711877677953,-48.59287779821873,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59287779821873,-0.9192711877677953]}"
78,52.872414,-37.514805,90.38722,0.11698917,0.3553364,-0.3553364,1.623508,147.16696,134.74463,69.449875,-0.9192711572856661,-48.59283289865753,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59283289865753,-0.9192711572856661]}"
79,61.034115,-43.308327,104.34244,0.16459851,0.42020535,-0.42020535,1.7755827,121.20399,117.680565,53.123028,-0.9192711268029686,-48.5927879990978,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.5927879990978,-0.9192711268029686]}"
80,76.683304,-41.545437,118.228745,0.21197997,0.42957178,-0.42957178,1.4104493,105.88428,118.916214,55.264843,-0.919271096319705,-48.59274309953956,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59274309953956,-0.919271096319705]}"
